936468736	000000	positive	@current I've got the live stream going #current....awesome!
936469851	000000	negative	Watching by myself  #tweetdebate Not drinking :( waiting to start cringing at McCains blunders
936469906	000000	positive	Current TV is pretty cool. Streaming Twitter feedback #tweetdebate
936469907	000000	positive	#tweetdebate the first debate is about to start
936470049	000000	positive	#tweetdebate - good luck both candidates
936470432	000000	negative	"@ahg3 @MichDot Yeah, slime was actually my second choice, can't say what the first one was. Okay, we're rolling..."
936472030	000000	negative	Preparing to have a heart attack #tweetdebate
936472042	000000	negative	"no debate moderators under 50, sorry  #tweetdebate"
936472907	000000	negative	@current Now staring at black screen on http://www.current.com/debate  grrrrrrrrrrrrrrr  #current
936472928	000000	negative	Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over? #tweetdebate
936473550	000000	positive	I can't imagine McCaine beating Obama in a war of words. #tweetdebate
936474032	000000	negative	#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so
936474361	000000	positive	#tweetdebate Awesome first debate question
936475544	000000	negative	Obama -2 it an occupation not war #tweetdebate
936475791	000000	positive	Obama +1 for swift and wise  #tweetdebate
936475857	000000	positive	"+1 for Obama ""Moving fast, moving swiftly"" #tweetdebate"
936476318	000000	negative	"@TDefren  I'm very nervous, yes #tweetdebate"
936476394	000000	negative	#tweetdebate no golden parachutes no padding CEOs - Obama
936476596	000000	positive	Obama looks good. #tweetdebate #current
936477055	000000	positive	+1 for Obama having 4 clear objectives to his plan #tweetdebate
936477231	000000	positive	Looking forward to the twitter storm taking place tonight. #tweetdebate
936477336	000000	positive	""" Obama +1 for articulating his plans - initial & recognition #tweetdebate"""
936477914	000000	negative	Q for Obama. Does the avg American know what a golden parachute is?  #tweetdebate
936478235	000000	positive	Obama +1 on taxpayer protection and fair shake #tweetdebate
936478277	000000	positive	Obama +1 #tweetdebate
936478329	000000	positive	#tweetdebate +3 to Obama - the failed economy is because of the last 8 years of Bush and McCain's support for those policies
936478426	000000	negative	McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current
936478519	000000	negative	@current current channel reception is continually sucking. Gotta love comcast
936478533	000000	negative	McCain -3 for Kenndey comment #tweetdebate
936478667	000000	negative	McCain -2 for not knowing Kennedy is home and watching the debate  #tweetdebate
936479026	000000	positive	McCain +1 for plugging Kennedy #tweetdebate
936479031	000000	negative	#tweetdebate McCain starts awkwardly
936479038	000000	negative	-1 McCain for stalling with faux sympathy #tweetdebate
936479048	000000	positive	+1 to Obama for trashing of the trickle down #tweetdebate
936479425	000000	negative	@andrewa121 I only get OTA HD with my EyeTV 500.
936479563	000000	positive	McCain +1 Kennedy comment #tweetdebate
936480648	000000	negative	McCain is talking about bipartisan negotiation? Uh...no... -1 pt. #tweetdebate #current
936480659	000000	negative	@current McCain looks so tired!! wayyyy past his bedtime #current
936481031	000000	positive	Obama +1 for bullet pointing his bailout policy clearly #tweetdebate
936481044	000000	positive	Obama +2 for specifics #tweetdebate
936481104	000000	negative	"dear john, they were sitting down till you came and stirred up a hornets' nest. pulease -4 #tweetdebate"
936481174	000000	negative	@andrewa121 He looks and sounds pretty tired.
936481537	000000	positive	+1 Obama #tweetdebate
936481635	000000	negative	@current Or its the beginning of the end of the beginning of the end.. Sheesh.
936481733	000000	negative	McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate
936481835	000000	positive	+1 for mcCain #tweetdebate
936481887	000000	positive	1st impressions: Obama has come across as more presidential and articulate. #tweetdebate
936482365	000000	negative	McCain: this is the end of the beginning. huh? #tweetdebate
936482757	000000	negative	McCain -2 gving credit to house republicans #tweetdebate
936482787	000000	positive	"+Obama for giving a clear concise answer to the first question #tweetdebate"
936482834	000000	negative	-1 McCain all over the place in his answer #tweetdebate
936482875	000000	positive	+1 for Lehrer for calling them both back on track re: recovery plan #tweetdebate
936482946	000000	negative	"Nice, McLame divides...Republicans uniquely came to fix it. Um, ok. #tweetdebate"
936482963	000000	negative	"if ur oldest candidate in history, why start with ""i'm not feeling great"" .. makes u thing ""you're not looking great either #tweetdebate"
936483241	000000	positive	@jowyang #tweetdebate +1 for Obama too for clear objectives but both are still not that clear where they stand.
936483373	000000	negative	Obama -1 for answering a different question #tweetdebate
936483464	000000	positive	I <3 lehrer #tweetdebate great move of repeating question
936484325	000000	negative	McCain -1 for bringing in Kennedy for emotional effect #tweetdebate
936484477	000000	negative	#tweetdebate greed is how we got into this situation in the first place
936484496	000000	positive	"+1 for Jim Lehrer for being a great moderator, everyone drink! #tweetdebate"
936485730	000000	negative	"McCain -2 ""Are you gonna vote for the plan?"" - ""I hope so"" whatte fuck?! #tweetdebate"
936486069	000000	negative	McCain -1 for failing to meaningfully answer the question on economy #tweetdebate
936486111	000000	positive	+2 for Obama making eye contact with the camera #tweetdebate
936487064	000000	negative	McCain -1 improper analogy #tweetdebate
936487130	000000	positive	Obama +1 for equating Republicans with anti-regulation #tweetdebate
936487524	000000	negative	Obama -1 for not understanding economic regulation in America. #tweetdebate
936488307	000000	positive	Obama +1 pt: We need more responsibility but not just during a crisis. #tweetdebate
936488526	000000	positive	#tweetdebate 21st century framework- I like that and it resonates with me as a future minded strategist & leader @barrackobama
936489753	000000	negative	"#tweetdebate -1 McCain ""we saw these problems coming"" I thought the economy was fundamentally sound"
