936466790	Jim Lehrer just directed the debate audience ... 30 seconds ... #tweetdebate	^ ^ R V D N N , $ N , #	neutral
936466992	Here we go . #tweetdebate	R O V , #	neutral
936467712	what is an appropriately bi-partisan food to bring to a debate party ? #tweetdebate	O V D R A N P V P D N N , #	neutral
936468396	@current one minute to get your stuff together #current	@ $ N P V D N R #	neutral
936468736	@current I've got the live stream going #current .... awesome !	@ L V D A N V # , A ,	positive
936468782	Anyone else actually kinda nervous ? #tweetdebate	N R R R A , #	neutral
936469851	Watching by myself #tweetdebate Not drinking :( waiting to start cringing at McCains blunders	V P O # R V E V P V V P ^ N	negative
936469906	Current TV is pretty cool . Streaming Twitter feedback #tweetdebate	A N V R A , V ^ N #	positive
936469907	#tweetdebate the first debate is about to start	# D A N V P P V	positive
936470049	#tweetdebate - good luck both candidates	# , A N D N	positive
936470432	" @ahg3 @MichDot Yeah , slime was actually my second choice , can't say what the first one was . Okay , we're rolling ... "	, @ @ ! , N V R D A N , V V O D A $ V , ! , L V , ,	negative
936470593	" #tweetdebate ready , set , go ! "	, # A , V , V , ,	neutral
936471235	" Just ordered pizza and got the cat settled , ready to watch the debates #tweetdebate "	, R V N & V D N V , A P V D N # ,	neutral
936471247	Any drinking game ideas for #tweetdebate ?	D V N N P ^ ,	neutral
936472030	Preparing to have a heart attack #tweetdebate	V P V D N N #	negative
936472042	" no debate moderators under 50 , sorry #tweetdebate "	, D N N P $ , A # ,	negative
936472907	@current Now staring at black screen on http://www.current.com/debate grrrrrrrrrrrrrrr #current	@ R V P A N P U ! #	negative
936472928	Introducing McCain and Obama . Wait ... McCain SHOWED UP ! Wow ... guess the crisis in Washington is over ? #tweetdebate	V ^ & ^ , V , ^ V T , ! , V D N P ^ V R , #	negative
936473115	The moderator is almost as important as the debaters . #current #tweetdebate #debate08	D N V R R A P D N , # # #	neutral
936473550	I can't imagine McCaine beating Obama in a war of words . #tweetdebate	O V V ^ V ^ P D N P N , #	positive
936473721	@mojosd refresh ?	@ V ,	neutral
936473869	#tweetdebate #debate08 I'm helping make the audience global	# # L V V D N A	neutral
936474032	#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so	# A R ^ V S N & V D A N P V P D N P V ^ P V R	negative
936474361	#tweetdebate Awesome first debate question	# A A N N	positive
936474486	#tweetdebate red tie obama	# A N ^	neutral
936475544	Obama -2 it an occupation not war #tweetdebate	^ $ O D N R N #	negative
936475560	#tweetdebate i never knew what the symbol of the Dems was till 12 yrs ago	# O R V O D N P D ^ V P $ N R	neutral
936475580	First question direct to the liver #tweetdebate	A N A P D N #	neutral
936475791	Obama +1 for swift and wise #tweetdebate	^ $ P A & A #	positive
936475824	@starweaver what happened ?	@ O V ,	neutral
936475857	" +1 for Obama "" Moving fast , moving swiftly "" #tweetdebate "	, $ P ^ , V A , V R , # ,	positive
936476318	" @TDefren I'm very nervous , yes #tweetdebate "	, @ L R A , ! # ,	negative
936476394	#tweetdebate no golden parachutes no padding CEOs - Obama	# D A N D N N , ^	negative
936476596	Obama looks good . #tweetdebate #current	^ V A , # #	positive
936477055	+1 for Obama having 4 clear objectives to his plan #tweetdebate	$ P ^ V $ A N P D N #	positive
936477231	Looking forward to the twitter storm taking place tonight . #tweetdebate	V R P D ^ N V N N , #	positive
936477289	@LuciaZephyr Link please ?	@ N V ,	neutral
936477336	""" Obama +1 for articulating his plans - initial & recognition #tweetdebate """	, ^ $ P V D N , A & N # ,	positive
936477914	Q for Obama . Does the avg American know what a golden parachute is ? #tweetdebate	N P ^ , V D ^ ^ V O D A N V , #	negative
936478235	Obama +1 on taxpayer protection and fair shake #tweetdebate	^ $ P N N & A N #	positive
936478277	Obama +1 #tweetdebate	^ , #	positive
936478329	#tweetdebate +3 to Obama - the failed economy is because of the last 8 years of Bush and McCain's support for those policies	# $ P ^ , D A N V P P D A $ N P ^ & Z N P D N	positive
936478426	McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current	^ R V D A N P ^ ^ $ # #	negative
936478519	@current current channel reception is continually sucking . Gotta love comcast	@ A N N V R V , V V ^	negative
936478533	McCain -3 for Kenndey comment #tweetdebate	^ $ P ^ V #	negative
936478667	McCain -2 for not knowing Kennedy is home and watching the debate #tweetdebate	^ $ P R V ^ V N & V D N #	negative
